# vehicleID, maxLat, minLat, maxLong, minLong
1025074,42.58848,42.522699,-93.3024,-93.648527
1025077,40.653254,40.563611,-82.788836,-82.825839
1025086,33.167599,33.086245,-97.345314,-97.655083
1025110,40.404987,40.354513,-86.955786,-87.032461
1025113,32.100461,32.04028,-106.658466,-106.707466
1025139,34.670951,34.579789,-88.255856,-88.287243
1025141,39.012707,38.988706,-74.744717,-74.878936
1025144,40.111413,40.065476,-76.335051,-76.419242
1025146,35.563943,35.514194,-76.618834,-76.691754
1025156,33.511955,33.453515,-99.467181,-99.550551
1025160,38.088945,38.056939,-122.174647,-122.231744
1025161,64.877181,64.812546,-147.2577,-147.386188
1025166,42.017401,41.978905,-88.147477,-88.31836
1025167,39.856445,39.790067,-97.020274,-97.139945
1025173,40.374397,40.33187,-79.303584,-79.346169
1025179,38.908243,38.867306,-119.553424,-119.668506
1025181,39.377175,39.304661,-85.944954,-86.888088
1025213,39.518514,39.472166,-87.374094,-87.701692
1025223,29.393748,29.341739,-98.719422,-98.908092
1025227,34.020021,33.960167,-99.679859,-99.730879
1025229,38.673797,38.637441,-92.768543,-92.830228
1025230,33.956082,33.928225,-78.094572,-78.167119
1025232,38.562052,38.509339,-90.314242,-90.411509
1025240,38.617256,38.570237,-90.537048,-90.615203
1025248,39.71151,39.66692,-74.940138,-75.159383
1025262,39.939218,39.861468,-75.28576,-75.344078
1025264,43.13778,43.099585,-124.343191,-124.41535
1025267,40.575856,40.536702,-80.103997,-80.162543
1025268,40.772481,40.724535,-78.523937,-78.567161
1025272,39.760899,39.720545,-75.647631,-75.726251
1025274,40.986044,40.907353,-73.773028,-73.827753
1025278,39.624144,39.576667,-74.70562,-74.941928
1025290,35.029958,34.972895,-76.813965,-76.881819
1025291,40.221341,40.174884,-75.509386,-75.603935
1025299,40.114009,40.074104,-79.827444,-79.871656
1025305,37.643633,37.569756,-111.954732,-111.998239
1025320,33.499626,33.454304,-86.995042,-87.142033
1025331,37.211288,37.148745,-95.389822,-95.43277
1025336,37.589364,37.497465,-87.776121,-87.856654
1025350,44.095255,44.009061,-98.560079,-98.618522
1025355,36.434841,36.392998,-92.835839,-92.972482
1025356,36.747158,36.692099,-76.814893,-76.897918
1025376,41.095083,41.05896,-82.877781,-82.954121
1025381,36.970388,36.926474,-92.657629,-92.759305
1025385,30.871256,30.836273,-83.281201,-83.386317
1025395,44.004434,43.935268,-89.190761,-89.237608
1025405,40.755966,40.708997,-73.421435,-73.501432
1025411,35.854752,35.816927,-116.120708,-116.252981
1025413,39.150115,39.111144,-85.003463,-85.352654
1025414,37.977046,37.929088,-84.623072,-84.672865
1025419,45.040429,44.981863,-120.092337,-120.208233
1025422,70.489144,70.4199,-157.086681,-157.41101
1025425,33.999785,33.93847,-90.648708,-90.760897
1025429,42.928098,42.861282,-91.770099,-91.900339
1025431,31.890363,31.827343,-99.364999,-99.451845
1025432,41.196939,41.124644,-84.78055,-84.841318
1025436,40.825371,40.768504,-73.45035,-73.535092
1025443,35.092568,35.040324,-107.608458,-107.69057
1025448,41.121514,41.062846,-73.965242,-74.013853
1025458,25.596737,25.561693,-80.376013,-80.426708
1025463,45.895043,45.856729,-111.946752,-112.16391
1025467,37.355949,37.298887,-120.583711,-120.662528
1025479,34.062611,34.008026,-118.132157,-118.206668
1025480,32.405499,32.372606,-106.457632,-106.515432
1025481,46.036589,46.01026,-96.240225,-96.358175
1025486,40.605609,40.547536,-76.51683,-76.568178
1025509,26.87796,26.784358,-80.55086,-81.006604
1025518,36.484464,36.442778,-100.301024,-100.543338
1025519,26.729203,26.691834,-95.374602,-137.551121
1025521,18.393457,18.321548,-65.801555,-65.905578
1025539,39.459421,39.391427,-80.13252,-80.402926
1025541,41.057218,41.011908,-73.649119,-73.691209
1025546,37.663919,37.562408,-99.580495,-99.653118
1025553,33.543682,33.505943,-117.691896,-117.825988
1025557,32.978941,32.909742,-91.940203,-93.856689
1025558,40.301131,40.268006,-76.745826,-76.775661
1025560,37.991362,37.932421,-120.395458,-120.434296
1025573,41.840869,41.753736,-112.037449,-112.166563
1025577,40.449923,40.399852,-75.889998,-75.956572
1025584,45.855273,45.810445,-98.394987,-98.526327
1025593,44.52233,44.471799,-89.910328,-89.962903
1025594,35.206528,35.173111,-78.363979,-78.437796
1025596,32.390103,32.355092,-96.104466,-96.282289
1025602,39.502935,39.461143,-89.654342,-90.135529
1025603,42.760588,42.716858,-84.635427,-84.762209
1025606,39.73661,39.68829,-78.491273,-78.62756
1025624,45.569306,45.490287,-88.456279,-95.928487
1025625,39.593795,39.564853,-74.555941,-74.732309
1025627,41.393147,41.336021,-122.298804,-122.377083
1025628,47.511177,47.43148,-122.823425,-122.873245
1025653,40.743617,40.687141,-80.011859,-80.087002
1025654,47.274769,47.225831,-123.919711,-123.95347
1025660,35.551435,35.511696,-93.282578,-93.369979
1025662,44.48511,44.43143,-89.451707,-89.538334
1025668,33.502483,33.410591,-88.333672,-88.441209
1025671,39.871407,39.813477,-75.893488,-75.965833
1025679,40.666714,40.629752,-92.822263,-92.849547
1025684,39.365786,39.267527,2.342015,-100.628615
1025699,39.912129,39.872404,-79.9024,-79.998254
1025705,45.760415,45.696891,-122.224812,-122.74091
1025719,38.422212,38.368741,-83.801497,-83.852556
1025721,36.246566,36.188076,-96.873982,-97.730214
1025723,41.969976,41.942787,-111.725374,-111.81348
1025724,34.744166,34.646548,-81.626652,-81.686392
1025733,39.046908,39.010874,-75.987564,-76.127381
1025738,41.144284,41.096475,-97.506129,-97.601737
1025745,33.645259,33.606942,-83.83497,-83.996057
1025750,39.232095,39.185771,-119.809433,-120.834812
1025751,45.743767,45.711201,-121.346794,-121.820136
1025757,40.236734,40.20503,-94.372818,-94.422232
1025775,29.00281,28.966686,-96.568603,-96.645676
1025777,37.419142,37.350595,-81.248739,-81.322273
1025788,34.120856,34.084536,-88.670194,-88.704687
1025789,36.189255,36.133882,-79.489296,-81.090416
1025791,40.386999,40.312276,-121.018799,-121.101636
1025792,33.814117,33.780746,-82.882355,-82.94142
