# vehicleID, year, month, fuel / hours, lat, long
1022108,2019,4,40.75545021472321,0,0
1022270,2019,4,51.381742738589246,0,0
1022349,2019,4,53.216798031091315,0,0
1022746,2019,4,54.62840056859958,0,0
1022809,2019,4,55.65880074203404,0,0
1022867,2019,4,47.82361529991862,0,0
1022956,2019,4,54.76211597999523,0,0
1023029,2019,4,44.77541957139167,0,0
1023045,2019,4,50.05044495674379,0,0
1023074,2019,4,47.26383949896504,0,0
1023102,2019,4,46.0136727704215,0,0
1023104,2019,4,60.891917705671304,0,0
1023343,2019,4,50.93100594617792,0,0
1023516,2019,4,54.12282287711687,0,0
1023517,2019,4,40.347284156234906,0,0
1023753,2019,4,48.503574890935525,0,0
1023846,2019,4,43.53713024072931,0,0
1023855,2019,4,62.05633556145829,0,0
1024319,2019,4,40.6754998324584,0,0
1024576,2019,4,58.58037578288101,0,0
1024934,2019,4,49.52136629642899,0,0
1024986,2019,4,41.10844734529935,0,0
1025334,2019,4,44.77881577881579,0,0
1025343,2019,4,64.57683957282012,0,0
1025371,2019,4,51.62001776246736,0,0
1025545,2019,4,49.94112682000422,0,0
1025604,2019,4,55.18927362665972,0,0
1025678,2019,4,58.13449895474169,0,0
1025877,2019,4,54.82432473034283,0,0
1025902,2019,4,52.33935487600436,0,0
1025923,2019,4,53.360559580021715,0,0
1026164,2019,4,60.361787329664985,0,0
1026170,2019,4,43.6737249262354,0,0
1026502,2019,4,43.2886298133098,0,0
1026546,2019,4,51.412690116552554,0,0
1026883,2019,4,52.31115375260125,0,0
1027115,2019,4,37.034708994709,0,0
1027397,2019,4,45.686398577629035,0,0
1027478,2019,4,34.65414560852343,0,0
1027493,2019,4,52.26481830110102,0,0
1027807,2019,4,59.177637537616484,0,0
1027809,2019,4,47.94994984425321,0,0
1027885,2019,4,72.6420112444675,0,0
1028246,2019,4,37.45189967717906,0,0
1028303,2019,4,51.3246999368288,0,0
1028484,2019,4,39.227236372585196,0,0
1028710,2019,4,59.78129102844639,0,0
1028718,2019,4,39.68094263370597,0,0
1028824,2019,4,68.8603947326057,0,0
1028938,2019,4,54.86278448823905,0,0
1029004,2019,4,49.289504573339535,0,0
1029065,2019,4,46.145083258325826,0,0
1029208,2019,4,60.313797278597804,0,0
1029373,2019,4,47.6663551401869,0,0
1029422,2019,4,55.86218852181758,0,0
1029447,2019,4,52.514311137475914,0,0
1029466,2019,4,52.041014936701984,0,0
1029467,2019,4,66.2828575276057,0,0
1029705,2019,4,48.53702106689665,0,0
1029768,2019,4,48.718748371632536,0,0
1029970,2019,4,38.349216316688434,0,0
1030056,2019,4,45.91295139256593,0,0
1030092,2019,4,61.00612258190582,0,0
1030187,2019,4,55.09450268064334,0,0
1030336,2019,4,54.08389760038017,0,0
1030613,2019,4,63.331100351528804,0,0
1030669,2019,4,65.09242192333994,0,0
1030737,2019,4,70.97122499314882,0,0
1030822,2019,4,48.9155884939078,0,0
1030854,2019,4,50.11751582316852,0,0
1030883,2019,4,41.9246007984032,0,0
1030938,2019,4,48.12272627053246,0,0
1030958,2019,4,70.8745224411149,0,0
1030971,2019,4,45.00470045057573,0,0
1031013,2019,4,47.328299181275725,0,0
1031015,2019,4,37.69866103291746,0,0
1031267,2019,4,49.082380719283606,0,0
1031308,2019,4,54.27303260177198,0,0
1031390,2019,4,59.20708399088199,0,0
1031440,2019,4,42.72256646890793,0,0
1031502,2019,4,60.97228017031979,0,0
1031549,2019,4,46.52293972522124,0,0
1031607,2019,4,39.47055927020162,0,0
1031665,2019,4,58.52822257806245,0,0
1031714,2019,4,40.48610265773989,0,0
1031722,2019,4,60.69895303619505,0,0
1031798,2019,4,59.33703853199615,0,0
1031804,2019,4,50.78335893778119,0,0
1032151,2019,4,51.705075749198265,0,0
1032240,2019,4,46.17673119780898,0,0
1032270,2019,4,51.023198617388985,0,0
1032458,2019,4,55.728741122493894,0,0
